,trx,item
6372,1590,mineral water
6373,1590,soup
6374,1590,eggs
6375,1590,cake
6376,1590,rice
6377,1590,cooking oil
6378,1591,mineral water
6379,1591,chocolate
6380,1591,olive oil
6381,1591,flax seed
6382,1591,black tea
6383,1591,french wine
6384,1591,fromage blanc
6385,1591,salmon
6386,1591,protein bar
6387,1592,french fries
6388,1593,cooking oil
6389,1594,tomatoes
6390,1595,spaghetti
6391,1595,yams
6392,1595,green grapes
6393,1595,eggs
6394,1595,french fries
6395,1596,mineral water
6396,1596,cooking oil
6397,1596,mint
6398,1597,grated cheese
6399,1597,frozen vegetables
6400,1597,mineral water
6401,1597,eggs
6402,1597,cooking oil
6403,1598,soup
6404,1598,milk
6405,1598,salmon
6406,1599,cookies
6407,1600,fresh bread
6408,1601,strawberries
6409,1602,muffins
6410,1603,chocolate
6411,1604,dessert wine
6412,1604,grated cheese
6413,1604,shrimp
6414,1604,frozen vegetables
6415,1604,ground beef
6416,1604,spaghetti
6417,1604,mineral water
6418,1604,soup
6419,1604,avocado
6420,1604,milk
6421,1604,salmon
6422,1604,whole wheat rice
6423,1604,gums
6424,1604,oil
6425,1604,clothes accessories
6426,1604,frozen smoothie
6427,1605,shrimp
6428,1605,frozen vegetables
6429,1605,ground beef
6430,1605,tomato sauce
6431,1605,spaghetti
6432,1605,mineral water
6433,1605,milk
6434,1605,chocolate
6435,1605,escalope
6436,1606,chocolate
6437,1606,shrimp
6438,1606,milk
6439,1606,olive oil
6440,1606,cider
6441,1606,cooking oil
6442,1606,hand protein bar
6443,1607,shrimp
6444,1607,mineral water
6445,1607,almonds
6446,1607,eggs
6447,1607,cake
6448,1607,blueberries
6449,1607,green tea
6450,1607,chocolate
6451,1607,french fries
6452,1607,escalope
6453,1607,cookies
6454,1607,mashed potato
6455,1607,brownies
6456,1607,pancakes
6457,1608,chocolate
6458,1608,shallot
6459,1608,energy drink
6460,1609,tomatoes
6461,1609,whole wheat pasta
6462,1609,ground beef
6463,1609,spaghetti
6464,1609,mineral water
6465,1609,olive oil
6466,1610,mineral water
6467,1610,soup
6468,1610,milk
6469,1610,salmon
6470,1610,cooking oil
6471,1610,ketchup
6472,1610,cereals
6473,1610,eggplant
6474,1610,french fries
6475,1610,magazines
6476,1611,red wine
6477,1611,mineral water
6478,1611,soup
6479,1611,avocado
6480,1612,turkey
6481,1612,red wine
6482,1612,ground beef
6483,1612,spaghetti
6484,1612,mineral water
6485,1612,milk
6486,1612,french wine
6487,1612,cereals
6488,1612,cottage cheese
6489,1612,yogurt cake
6490,1612,light mayo
6491,1612,tomato juice
6492,1613,fresh tuna
6493,1613,herb & pepper
6494,1613,frozen vegetables
6495,1613,tomatoes
6496,1613,spaghetti
6497,1613,mineral water
6498,1613,avocado
6499,1613,milk
6500,1613,olive oil
6501,1613,black tea
6502,1613,spinach
6503,1613,eggs
6504,1613,french fries
6505,1613,cottage cheese
6506,1613,pancakes
6507,1614,shrimp
6508,1614,tomatoes
6509,1614,spaghetti
6510,1614,green beans
6511,1615,burgers
6512,1615,spaghetti
6513,1615,avocado
6514,1615,pancakes
6515,1615,cake
6516,1615,fresh bread
6517,1616,milk
6518,1617,chocolate
6519,1618,energy bar
6520,1618,eggs
6521,1618,cottage cheese
6522,1618,green tea
6523,1619,pepper
6524,1619,chocolate
6525,1619,french fries
6526,1619,cookies
6527,1619,strawberries
6528,1619,babies food
6529,1619,fresh bread
6530,1619,magazines
6531,1620,escalope
6532,1621,chocolate
6533,1621,cake
6534,1621,gums
6535,1621,champagne
6536,1621,protein bar
6537,1622,ground beef
6538,1622,chocolate
6539,1622,mint
6540,1623,burgers
6541,1623,fresh tuna
6542,1623,ham
6543,1623,grated cheese
6544,1623,frozen vegetables
6545,1623,tomatoes
6546,1623,parmesan cheese
6547,1623,spaghetti
6548,1623,mineral water
6549,1623,chocolate
6550,1623,olive oil
6551,1623,vegetables mix
6552,1623,nonfat milk
6553,1623,muffins
6554,1623,pancakes
6555,1623,cake
6556,1623,french fries
6557,1623,protein bar
6558,1624,fresh tuna
6559,1624,mineral water
6560,1624,cider
6561,1624,eggs
6562,1624,brownies
6563,1624,low fat yogurt
6564,1625,french fries
6565,1625,cookies
6566,1626,chocolate
6567,1626,frozen vegetables
6568,1626,mineral water
6569,1626,cake
6570,1626,french fries
6571,1626,cottage cheese
6572,1626,brownies
6573,1626,pancakes
6574,1627,burgers
6575,1627,tomatoes
6576,1627,mineral water
6577,1627,eggs
6578,1627,light cream
6579,1627,oil
6580,1627,french fries
6581,1628,spaghetti
6582,1628,french fries
6583,1629,mineral water
6584,1629,escalope
6585,1630,ground beef
6586,1631,chocolate
6587,1631,spaghetti
6588,1631,mineral water
6589,1632,frozen vegetables
6590,1632,tomatoes
6591,1632,mineral water
6592,1632,soup
6593,1632,milk
6594,1632,salmon
6595,1632,vegetables mix
6596,1632,honey
6597,1632,mint green tea
6598,1632,champagne
6599,1632,escalope
6600,1632,tomato juice
6601,1633,grated cheese
6602,1633,ground beef
6603,1633,whole wheat rice
6604,1633,french fries
6605,1633,escalope
6606,1634,frozen vegetables
6607,1634,tomatoes
6608,1634,ground beef
6609,1634,mineral water
6610,1634,milk
6611,1634,energy bar
6612,1634,pancakes
6613,1634,honey
6614,1634,whole weat flour
6615,1634,french fries
6616,1635,chocolate
6617,1635,fresh bread
6618,1636,spaghetti
6619,1636,soup
6620,1636,cake
6621,1636,pet food
6622,1636,hot dogs
6623,1636,body spray
6624,1636,strawberries
6625,1636,fresh bread
6626,1637,olive oil
6627,1637,salad
6628,1638,mineral water
6629,1638,olive oil
6630,1639,ground beef
6631,1639,spaghetti
6632,1639,mineral water
6633,1639,chocolate
6634,1639,escalope
6635,1640,burgers
6636,1640,whole wheat pasta
6637,1640,mineral water
6638,1640,milk
6639,1640,pancakes
6640,1641,salmon
6641,1642,herb & pepper
6642,1642,mineral water
6643,1642,chocolate
6644,1642,eggs
6645,1642,cereals
6646,1642,escalope
6647,1643,ground beef
6648,1643,mineral water
6649,1643,milk
6650,1644,eggs
6651,1644,whole wheat rice
6652,1644,chocolate
6653,1645,cookies
6654,1645,yogurt cake
6655,1646,whole weat flour
6656,1646,green tea
6657,1646,pancakes
6658,1646,melons
6659,1647,herb & pepper
6660,1647,mint
6661,1648,salmon
6662,1648,vegetables mix
6663,1649,chocolate
6664,1649,yogurt cake
6665,1650,pancakes
6666,1651,muffins
6667,1651,chicken
6668,1651,fresh bread
6669,1651,white wine
6670,1652,muffins
6671,1652,blueberries
6672,1652,pet food
6673,1652,green tea
6674,1652,toothpaste
6675,1653,chocolate
6676,1653,olive oil
6677,1653,whole wheat rice
6678,1653,cake
6679,1653,green beans
6680,1653,frozen smoothie
6681,1653,cottage cheese
6682,1654,burgers
6683,1655,fresh tuna
6684,1655,frozen vegetables
6685,1655,strong cheese
6686,1655,cottage cheese
6687,1655,tomato juice
6688,1655,low fat yogurt
6689,1656,shrimp
6690,1656,tomatoes
6691,1656,spaghetti
6692,1656,mineral water
6693,1656,chocolate
6694,1656,chicken
6695,1656,pancakes
6696,1656,burger sauce
6697,1656,frozen smoothie
6698,1656,hand protein bar
6699,1656,fresh bread
6700,1657,mushroom cream sauce
6701,1658,chocolate
6702,1658,cooking oil
6703,1659,mineral water
6704,1659,chocolate
6705,1659,frozen smoothie
6706,1660,french wine
6707,1660,low fat yogurt
6708,1661,tomato juice
6709,1662,chili
6710,1662,french fries
6711,1662,green tea
6712,1663,cake
6713,1663,french fries
6714,1664,pepper
6715,1664,eggs
6716,1665,muffins
6717,1665,french fries
6718,1665,frozen smoothie
6719,1666,tomato sauce
6720,1667,shrimp
6721,1667,tomatoes
6722,1667,soup
6723,1667,clothes accessories
6724,1667,green tea
6725,1668,honey
6726,1668,french fries
6727,1668,escalope
6728,1669,tomatoes
6729,1669,ground beef
6730,1669,chicken
6731,1669,green tea
6732,1669,escalope
6733,1670,champagne
6734,1670,body spray
6735,1671,muffins
6736,1671,french fries
6737,1671,escalope
6738,1671,hot dogs
6739,1672,mint
6740,1673,herb & pepper
6741,1673,frozen vegetables
6742,1673,salmon
6743,1673,carrots
6744,1673,chocolate
6745,1673,french fries
6746,1674,cookies
6747,1675,cereals
6748,1675,pancakes
6749,1675,yogurt cake
6750,1676,olive oil
6751,1677,green tea
6752,1678,whole wheat pasta
6753,1678,spaghetti
6754,1678,milk
6755,1679,mineral water
6756,1679,mint
6757,1680,ground beef
6758,1680,pancakes
6759,1681,grated cheese
6760,1681,tomatoes
6761,1681,spaghetti
6762,1681,mineral water
6763,1681,milk
6764,1681,ketchup
6765,1681,carrots
6766,1681,french fries
6767,1681,protein bar
6768,1682,burgers
6769,1682,grated cheese
6770,1682,shrimp
6771,1682,whole wheat pasta
6772,1682,olive oil
6773,1682,french fries
6774,1682,frozen smoothie
6775,1682,protein bar
6776,1683,chocolate
6777,1683,honey
6778,1684,muffins
6779,1684,chocolate
6780,1685,whole wheat pasta
6781,1685,ground beef
6782,1685,mineral water
6783,1685,avocado
6784,1685,milk
6785,1685,olive oil
6786,1685,chicken
6787,1685,gums
6788,1685,frozen smoothie
6789,1686,escalope
6790,1686,green tea
6791,1687,grated cheese
6792,1687,whole wheat pasta
6793,1687,mineral water
6794,1687,avocado
6795,1687,olive oil
6796,1687,frozen smoothie
6797,1687,light mayo
6798,1688,muffins
6799,1688,french fries
6800,1688,yogurt cake
6801,1689,soup
6802,1689,milk
6803,1689,brownies
6804,1690,burgers
6805,1690,avocado
6806,1690,french fries
6807,1691,eggs
6808,1691,burger sauce
6809,1691,escalope
6810,1692,spaghetti
6811,1692,pancakes
6812,1692,french fries
6813,1693,spaghetti
6814,1693,cake
6815,1694,ground beef
6816,1694,green beans
6817,1694,french fries
6818,1694,green tea
6819,1695,spaghetti
6820,1695,mineral water
6821,1695,chocolate
6822,1695,milk
6823,1695,chicken
6824,1695,burger sauce
6825,1695,antioxydant juice
6826,1695,frozen smoothie
6827,1695,magazines
6828,1696,cake
6829,1696,hot dogs
6830,1697,spaghetti
6831,1697,whole wheat rice
6832,1697,french fries
6833,1698,spaghetti
6834,1698,salmon
6835,1698,cake
6836,1698,energy drink
6837,1699,shrimp
6838,1699,frozen vegetables
6839,1699,mineral water
6840,1699,pancakes
6841,1699,cake
6842,1699,chocolate
6843,1699,hot dogs
6844,1700,honey
6845,1701,shrimp
6846,1701,whole wheat pasta
6847,1701,pepper
6848,1701,spaghetti
6849,1701,flax seed
6850,1701,black tea
6851,1701,oil
6852,1701,carrots
6853,1701,green tea
6854,1701,chocolate
6855,1701,french fries
6856,1701,escalope
6857,1701,salt
6858,1701,babies food
6859,1701,magazines
6860,1702,mineral water
6861,1703,pancakes
6862,1703,mint
6863,1704,shrimp
6864,1704,spaghetti
6865,1704,vegetables mix
6866,1704,rice
6867,1704,cookies
6868,1704,hot dogs
6869,1705,spaghetti
6870,1705,milk
6871,1705,frozen smoothie
6872,1705,green tea
6873,1706,ground beef
6874,1706,vegetables mix
6875,1706,honey
6876,1706,tomato juice
6877,1707,burgers
6878,1707,chocolate
6879,1707,tomatoes
6880,1707,whole wheat pasta
6881,1707,spaghetti
6882,1707,avocado
6883,1707,milk
6884,1707,salmon
6885,1707,vegetables mix
6886,1707,whole wheat rice
6887,1707,gums
6888,1707,ketchup
6889,1707,corn
6890,1707,french fries
6891,1707,cookies
6892,1707,sparkling water
6893,1708,tomatoes
6894,1708,burger sauce
6895,1708,chocolate
6896,1708,green tea
6897,1709,frozen vegetables
6898,1709,whole wheat pasta
6899,1709,milk
6900,1709,pancakes
6901,1709,whole wheat rice
6902,1709,french fries
6903,1709,light mayo
6904,1710,grated cheese
6905,1710,spaghetti
6906,1710,olive oil
6907,1711,mineral water
6908,1711,milk
6909,1711,chicken
6910,1711,oil
6911,1711,carrots
6912,1711,cereals
6913,1711,champagne
6914,1711,cottage cheese
6915,1711,pancakes
6916,1711,energy drink
6917,1711,white wine
6918,1712,barbecue sauce
6919,1712,french fries
6920,1712,frozen smoothie
6921,1713,shrimp
6922,1713,honey
6923,1713,ketchup
6924,1713,frozen smoothie
6925,1713,escalope
6926,1713,hot dogs
6927,1713,sparkling water
6928,1713,green tea
6929,1714,mineral water
6930,1714,cooking oil
6931,1714,chocolate
6932,1715,ground beef
6933,1715,soup
6934,1715,avocado
6935,1715,olive oil
6936,1715,cake
6937,1715,chocolate bread
6938,1715,green tea
6939,1715,french fries
6940,1715,frozen smoothie
6941,1715,low fat yogurt
6942,1716,shrimp
6943,1716,frozen vegetables
6944,1716,spaghetti
6945,1717,butter
6946,1718,french fries
6947,1719,frozen vegetables
6948,1719,escalope
6949,1720,green tea
6950,1721,escalope
6951,1722,herb & pepper
6952,1722,parmesan cheese
6953,1722,frozen smoothie
6954,1723,tomatoes
6955,1723,chicken
6956,1724,ground beef
6957,1724,pepper
6958,1724,spaghetti
6959,1724,milk
6960,1724,vegetables mix
6961,1724,burger sauce
6962,1724,green beans
6963,1724,french fries
6964,1724,hot dogs
6965,1724,fresh bread
6966,1725,chocolate
6967,1725,herb & pepper
6968,1725,shrimp
6969,1725,mineral water
6970,1725,chicken
6971,1725,pancakes
6972,1725,eggs
6973,1725,cookies
6974,1725,fresh bread
6975,1725,green tea
6976,1726,chocolate
6977,1727,light cream
6978,1728,tomatoes
6979,1728,pancakes
6980,1729,mineral water
6981,1729,cake
6982,1729,frozen smoothie
6983,1729,cookies
6984,1729,yogurt cake
6985,1730,turkey
6986,1730,mineral water
6987,1730,chocolate
6988,1730,yogurt cake
6989,1730,light mayo
6990,1731,cookies
6991,1732,mineral water
6992,1732,chicken
6993,1732,oil
6994,1732,chocolate
6995,1732,frozen smoothie
6996,1732,mint
6997,1733,cookies
6998,1734,meatballs
6999,1734,yogurt cake
7000,1735,cooking oil
7001,1736,mineral water
7002,1737,cookies
7003,1737,pasta
7004,1738,hot dogs
7005,1739,ground beef
7006,1739,pepper
7007,1739,olive oil
7008,1739,butter
7009,1739,green grapes
7010,1739,cooking oil
7011,1740,burgers
7012,1740,shrimp
7013,1740,spaghetti
7014,1740,avocado
7015,1740,milk
7016,1740,olive oil
7017,1740,french wine
7018,1740,chutney
7019,1740,honey
7020,1740,gums
7021,1740,cereals
7022,1740,chocolate
7023,1740,melons
7024,1740,hand protein bar
7025,1740,zucchini
7026,1741,whole wheat rice
7027,1742,spaghetti
7028,1742,avocado
7029,1742,brownies
7030,1743,fresh tuna
7031,1743,spaghetti
7032,1743,mineral water
7033,1743,salmon
7034,1744,pancakes
7035,1744,cereals
7036,1744,chocolate
7037,1745,burgers
7038,1745,tomatoes
7039,1745,pepper
7040,1745,corn
7041,1745,cereals
7042,1745,escalope
7043,1745,low fat yogurt
7044,1746,ground beef
7045,1746,milk
7046,1746,frozen smoothie
7047,1747,spaghetti
7048,1747,milk
7049,1748,shrimp
7050,1748,mineral water
7051,1748,energy drink
7052,1748,salt
7053,1748,magazines
7054,1749,grated cheese
7055,1749,spinach
7056,1749,french fries
7057,1750,spaghetti
7058,1750,mineral water
7059,1750,milk
7060,1750,corn
7061,1751,chocolate
7062,1751,grated cheese
7063,1751,herb & pepper
7064,1751,whole wheat pasta
7065,1751,almonds
7066,1751,oatmeal
7067,1751,green tea
7068,1752,tomatoes
7069,1752,cooking oil
7070,1753,whole wheat pasta
7071,1753,strawberries
7072,1753,melons
7073,1753,low fat yogurt
7074,1754,mineral water
7075,1754,energy drink
7076,1755,chocolate
7077,1755,cookies
7078,1755,green tea
7079,1756,grated cheese
7080,1756,pepper
7081,1756,cake
7082,1756,bramble
7083,1756,chocolate
7084,1757,mineral water
7085,1757,french fries
7086,1758,grated cheese
7087,1758,frozen vegetables
7088,1758,whole wheat pasta
7089,1758,mineral water
7090,1758,milk
7091,1758,honey
7092,1758,oil
7093,1759,cereals
7094,1759,pancakes
7095,1760,pickles
7096,1760,shrimp
7097,1760,milk
7098,1760,cake
7099,1760,french fries
7100,1760,brownies
7101,1760,green tea
7102,1761,whole wheat rice
7103,1761,cooking oil
7104,1761,cottage cheese
7105,1761,zucchini
7106,1762,whole wheat pasta
7107,1762,avocado
7108,1762,olive oil
7109,1762,chocolate
7110,1762,french fries
7111,1762,frozen smoothie
7112,1762,champagne
7113,1763,fresh tuna
7114,1763,mineral water
7115,1763,pancakes
7116,1763,cake
7117,1763,oil
7118,1763,extra dark chocolate
7119,1763,strawberries
7120,1763,gluten free bar
7121,1764,cake
7122,1764,cookies
7123,1764,green tea
7124,1765,burgers
7125,1765,cake
7126,1766,mineral water
7127,1766,milk
7128,1766,cider
7129,1766,gums
7130,1766,extra dark chocolate
7131,1766,french fries
7132,1766,body spray
7133,1766,pancakes
7134,1766,energy drink
7135,1767,escalope
7136,1768,mineral water
7137,1768,whole wheat rice
7138,1769,burgers
7139,1769,ground beef
7140,1769,honey
7141,1769,blueberries
7142,1769,gums
7143,1769,french fries
7144,1769,fresh bread
7145,1770,french fries
7146,1770,pancakes
7147,1770,gluten free bar
7148,1771,fresh tuna
7149,1771,mineral water
7150,1771,avocado
7151,1771,fromage blanc
7152,1771,chocolate
7153,1771,french fries
7154,1771,frozen smoothie
7155,1771,pancakes
7156,1772,escalope
7157,1772,cookies
7158,1773,burgers
7159,1773,chocolate
7160,1773,spaghetti
7161,1773,mineral water
7162,1773,milk
7163,1773,chicken
7164,1773,whole wheat rice
7165,1773,french fries
7166,1774,burgers
7167,1774,ground beef
7168,1774,spaghetti
7169,1774,avocado
7170,1774,milk
7171,1774,olive oil
7172,1774,almonds
7173,1774,pancakes
7174,1774,honey
7175,1774,cake
7176,1774,chocolate
7177,1774,frozen smoothie
7178,1774,sparkling water
7179,1775,burgers
7180,1775,eggs
7181,1775,champagne
7182,1776,grated cheese
7183,1777,ground beef
7184,1777,milk
7185,1777,energy bar
7186,1777,pancakes
7187,1777,honey
7188,1777,cereals
7189,1778,shrimp
7190,1778,mineral water
7191,1778,extra dark chocolate
7192,1778,green tea
7193,1779,spaghetti
7194,1780,mineral water
7195,1780,french fries
7196,1781,milk
7197,1781,muffins
7198,1781,honey
7199,1781,whole weat flour
7200,1781,green tea
7201,1782,butter
7202,1782,bacon
7203,1782,eggs
7204,1782,carrots
7205,1782,french fries
7206,1782,tomato juice
7207,1782,green tea
7208,1783,shrimp
7209,1783,frozen vegetables
7210,1783,tomatoes
7211,1783,spaghetti
7212,1783,eggs
7213,1783,champagne
7214,1783,frozen smoothie
7215,1784,shrimp
7216,1784,tomatoes
7217,1784,mineral water
7218,1784,chocolate
7219,1785,mineral water
7220,1785,meatballs
7221,1785,olive oil
7222,1785,muffins
7223,1785,whole wheat rice
7224,1785,yogurt cake
7225,1785,light mayo
7226,1785,salt
7227,1786,cookies
7228,1787,eggs
7229,1787,chicken
7230,1787,whole weat flour
7231,1787,strawberries
7232,1787,low fat yogurt
7233,1788,burgers
7234,1788,eggs
7235,1788,french fries
7236,1789,nonfat milk
7237,1789,escalope
7238,1790,spaghetti
7239,1790,mineral water
7240,1790,extra dark chocolate
7241,1790,green tea
7242,1790,zucchini
7243,1791,eggs
7244,1791,french fries
7245,1792,frozen vegetables
7246,1792,spaghetti
7247,1792,mineral water
7248,1792,salmon
7249,1792,cake
7250,1792,body spray
7251,1793,meatballs
7252,1793,french wine
7253,1794,cake
7254,1794,french fries
7255,1795,cider
7256,1795,frozen smoothie
7257,1796,eggs
7258,1796,whole weat flour
7259,1796,eggplant
7260,1796,strawberries
7261,1796,low fat yogurt
7262,1797,turkey
7263,1797,pepper
7264,1797,light mayo
7265,1797,protein bar
7266,1798,turkey
7267,1798,tomatoes
7268,1798,low fat yogurt
7269,1799,flax seed
7270,1799,cake
7271,1799,green tea
7272,1799,french fries
7273,1799,mushroom cream sauce
7274,1799,hot dogs
7275,1799,cottage cheese
7276,1799,brownies
7277,1800,eggs
7278,1800,cookies
7279,1801,turkey
7280,1801,mineral water
7281,1801,whole wheat rice
7282,1801,body spray
7283,1801,energy drink
7284,1801,green tea
7285,1802,eggs
7286,1802,escalope
7287,1803,eggs
7288,1803,honey
7289,1803,salt
7290,1803,green tea
7291,1804,spaghetti
7292,1804,mineral water
7293,1804,french fries
7294,1804,pancakes
7295,1805,green tea
7296,1806,tomatoes
7297,1806,spaghetti
7298,1806,mineral water
7299,1806,milk
7300,1806,energy bar
7301,1806,spinach
7302,1806,eggs
7303,1806,frozen smoothie
7304,1807,shrimp
7305,1807,tomatoes
7306,1808,light cream
7307,1808,chocolate
7308,1808,pancakes
7309,1808,yogurt cake
7310,1809,turkey
7311,1809,eggs
7312,1810,french fries
7313,1811,french fries
7314,1812,ground beef
7315,1813,grated cheese
7316,1813,mineral water
7317,1813,eggs
7318,1813,extra dark chocolate
7319,1813,yogurt cake
7320,1813,mayonnaise
7321,1813,low fat yogurt
7322,1814,salmon
7323,1814,eggs
7324,1814,cake
7325,1815,frozen vegetables
7326,1815,spaghetti
7327,1815,mineral water
7328,1815,vegetables mix
7329,1816,shrimp
7330,1816,mineral water
7331,1816,olive oil
7332,1816,eggs
7333,1816,cake
7334,1817,turkey
7335,1817,herb & pepper
7336,1817,spaghetti
7337,1817,eggs
7338,1818,spaghetti
7339,1818,mineral water
7340,1818,eggs
7341,1818,burger sauce
7342,1818,cooking oil
7343,1818,french fries
7344,1818,brownies
7345,1819,whole weat flour
7346,1819,cereals
7347,1819,honey
7348,1820,turkey
7349,1820,burgers
7350,1820,spaghetti
7351,1820,pancakes
7352,1820,ketchup
7353,1820,eggplant
7354,1820,french fries
7355,1820,cottage cheese
7356,1820,green tea
7357,1821,grated cheese
7358,1821,herb & pepper
7359,1821,spaghetti
7360,1821,french wine
7361,1821,chicken
7362,1821,eggs
7363,1821,whole wheat rice
7364,1821,fresh bread
7365,1822,burgers
7366,1822,fresh tuna
7367,1822,pickles
7368,1822,vegetables mix
7369,1822,hot dogs
7370,1822,cottage cheese
7371,1822,brownies
7372,1822,green tea
7373,1823,tomatoes
7374,1823,french fries
7375,1824,escalope
7376,1824,cookies
7377,1825,energy bar
7378,1826,dessert wine
7379,1826,mineral water
7380,1826,milk
7381,1827,turkey
7382,1827,pepper
7383,1827,black tea
7384,1827,honey
7385,1827,cake
7386,1827,bug spray
7387,1827,pancakes
7388,1827,low fat yogurt
7389,1827,green tea
7390,1828,whole wheat pasta
7391,1828,pepper
7392,1828,olive oil
7393,1828,whole wheat rice
7394,1828,rice
7395,1828,pasta
7396,1828,white wine
7397,1829,soup
7398,1829,french fries
7399,1830,burgers
7400,1830,mineral water
7401,1830,escalope
7402,1831,pepper
7403,1831,mineral water
7404,1831,soup
7405,1831,milk
7406,1831,french wine
7407,1831,pancakes
7408,1831,chocolate
7409,1831,asparagus
7410,1832,french fries
7411,1833,french fries
7412,1833,escalope
7413,1834,chocolate
7414,1834,shrimp
7415,1834,milk
7416,1834,butter
7417,1834,black tea
7418,1834,eggs
7419,1834,cooking oil
7420,1834,barbecue sauce
7421,1834,green tea
7422,1834,cauliflower
7423,1834,toothpaste
7424,1835,chicken
7425,1836,chocolate
7426,1836,frozen smoothie
7427,1837,pancakes
7428,1838,chicken
7429,1838,honey
7430,1838,whole weat flour
7431,1838,cereals
7432,1838,green tea
7433,1838,energy drink
7434,1839,mineral water
7435,1839,french fries
7436,1839,cookies
7437,1839,shallot
7438,1839,low fat yogurt
7439,1840,mineral water
7440,1840,pancakes
7441,1840,eggs
7442,1840,whole wheat rice
7443,1840,yogurt cake
7444,1840,green tea
7445,1841,frozen smoothie
7446,1842,pepper
7447,1842,cider
7448,1843,frozen vegetables
7449,1843,spaghetti
7450,1843,milk
7451,1843,bacon
7452,1843,barbecue sauce
7453,1843,low fat yogurt
7454,1844,frozen vegetables
7455,1844,parmesan cheese
7456,1844,spaghetti
7457,1844,escalope
7458,1844,sparkling water
7459,1845,cake
7460,1846,red wine
7461,1846,gums
7462,1846,pet food
7463,1847,turkey
7464,1848,frozen vegetables
7465,1848,spaghetti
7466,1848,mineral water
7467,1848,soup
7468,1848,green grapes
7469,1848,eggs
7470,1848,cooking oil
7471,1848,oatmeal
7472,1849,chocolate
7473,1850,eggs
7474,1850,champagne
7475,1851,frozen vegetables
7476,1851,spaghetti
7477,1852,grated cheese
7478,1852,herb & pepper
7479,1852,ground beef
7480,1852,mineral water
7481,1852,rice
7482,1852,cooking oil
7483,1852,oatmeal
7484,1852,chocolate
7485,1853,mineral water
7486,1854,red wine
7487,1854,eggs
7488,1855,turkey
7489,1855,spinach
7490,1856,burgers
7491,1856,herb & pepper
7492,1856,shrimp
7493,1856,whole weat flour
7494,1856,green tea
7495,1857,spaghetti
7496,1857,escalope
7497,1858,fresh tuna
7498,1858,pepper
7499,1858,spaghetti
7500,1858,whole wheat rice
7501,1858,cooking oil
7502,1859,escalope
7503,1860,tomatoes
7504,1860,french fries
7505,1860,body spray
7506,1860,yogurt cake
7507,1861,rice
7508,1861,burger sauce
7509,1861,french fries
7510,1861,frozen smoothie
7511,1861,sandwich
7512,1861,fresh bread
7513,1862,tomatoes
7514,1862,soup
7515,1862,green grapes
7516,1862,whole weat flour
7517,1863,grated cheese
7518,1863,avocado
7519,1863,french fries
7520,1863,green tea
7521,1864,turkey
7522,1864,burgers
7523,1864,spaghetti
7524,1864,french wine
7525,1864,eggs
7526,1865,eggs
7527,1865,mashed potato
7528,1866,burgers
7529,1866,ham
7530,1866,spaghetti
7531,1866,soup
7532,1866,almonds
7533,1866,pancakes
7534,1866,eggs
7535,1866,cake
7536,1866,cereals
7537,1866,chocolate
7538,1866,french fries
7539,1866,low fat yogurt
7540,1866,green tea
7541,1867,frozen vegetables
7542,1867,chicken
7543,1867,pancakes
7544,1868,chocolate
7545,1868,red wine
7546,1868,spaghetti
7547,1869,mineral water
7548,1869,milk
7549,1870,fresh tuna
7550,1871,french fries
7551,1872,chocolate
7552,1872,red wine
7553,1872,spaghetti
7554,1873,cookies
7555,1874,tomatoes
7556,1874,cake
7557,1875,frozen vegetables
7558,1875,tomatoes
7559,1875,mineral water
7560,1875,chicken
7561,1875,green grapes
7562,1875,eggs
7563,1875,chocolate
7564,1875,brownies
7565,1875,fresh bread
7566,1875,white wine
7567,1876,pancakes
7568,1876,eggs
7569,1877,ham
7570,1877,grated cheese
7571,1877,frozen vegetables
7572,1877,mineral water
7573,1877,soup
7574,1877,eggs
7575,1877,cereals
7576,1877,chocolate
7577,1877,french fries
7578,1878,shrimp
7579,1878,babies food
7580,1879,burgers
7581,1879,shrimp
7582,1879,tomatoes
7583,1879,ground beef
7584,1879,tomato sauce
7585,1879,spaghetti
7586,1879,soup
7587,1879,milk
7588,1879,black tea
7589,1879,cereals
7590,1879,green tea
7591,1880,eggs
7592,1880,tea
7593,1881,eggs
7594,1881,low fat yogurt
7595,1882,ham
7596,1882,frozen vegetables
7597,1882,energy bar
7598,1882,whole weat flour
7599,1882,green tea
7600,1883,ground beef
7601,1883,tomato sauce
7602,1883,salmon
7603,1883,chocolate
7604,1883,green tea
7605,1884,frozen vegetables
7606,1884,soda
7607,1884,chocolate
7608,1885,shrimp
7609,1885,frozen vegetables
7610,1885,tomatoes
7611,1885,whole wheat pasta
7612,1885,chocolate
7613,1885,french fries
7614,1885,mushroom cream sauce
7615,1886,mineral water
7616,1886,energy bar
7617,1886,vegetables mix
7618,1886,green grapes
7619,1887,cooking oil
7620,1887,fresh bread
7621,1888,red wine
7622,1888,mineral water
7623,1888,muffins
7624,1888,pancakes
7625,1888,honey
7626,1888,cake
7627,1888,cooking oil
7628,1888,whole weat flour
7629,1888,french fries
7630,1888,frozen smoothie
7631,1888,mushroom cream sauce
7632,1888,hot dogs
7633,1888,sparkling water
7634,1888,green tea
7635,1889,avocado
7636,1889,eggs
7637,1889,chocolate
7638,1889,energy drink
7639,1890,herb & pepper
7640,1890,olive oil
7641,1890,fresh bread
7642,1891,spaghetti
7643,1891,energy bar
